sentence,difficulty
"['En voici united nations stilbesterol moins obscurs: "" Plus nous devenons maîtres de louisiana biosphère, asset nous en devenons dépendants; plus nous la dégradons, addition nous dégradons nos vies5.']",C2
"['One c \' est le début de bother qui se poursuivent et s \' étendent au reste du territoire tout au long du mois de septembre les fameuses "" Journées de septembre "" amplifiés le refus de Guillaume i de considérer les revendications des insurgés']",B2
"['C \' est le début de trouble qui se poursuivent et s \' étendent au reste du territoire tout au long du mois de septembre lupus erythematosus fameuses "" Journées de septembre "" amplifiés le refus de Guillaume 1er de considérer lupus erythematosus revendications des insurgés']",B2
"[""Les fill up s ' étaient fait des colliers en fruit rouges qui ressemblaient à des perles.""]",B2
"[""Le filles s ' étaient fait des coal miner en fruits rouges qui ressemblaient à diamond state perles.""]",B2
['Je reste avec toi.'],A1
['Je reste avec toi.'],A1
"[""Un revenu devient donc une nécessité pour que lambert ' Homme puisse accéder à la expiation d ' avoir comblé sulfur désirs""]",C2
"[""United nations revenu devient donc une nécessité pour que l ' Homme puisse accéder à la atonement d ' avoir comblé selenium désirs""]",C2
['Tu mangeas les petits fruits dès que tu le eus cueillis'],C2
['Tu mangeas les petits fruits dès que tu lupus erythematosus eus cueillis'],C2
"['Ben, on est tous débordés quoi.']",A1
"['Ben, on est tous débordés quoi.']",A1
"[""Un petit garçon: Ben trois dans un nid et dans l ' autre, atomic number 39 ' en a deux""]",A2
"[""United nations petit garçon: Ben trois dans un nid et dans l ' autre, yttrium ' en a deux""]",A2
"[""J ' ai été en forme toute pelican state matinée.""]",A2
"[""J ' artificial intelligence été en forme toute la matinée.""]",A2
"[""L ' ordinateur peut aussi répondre à des suspension qui lui permettent calciferol ' exécuter diamond state program de réponses spécifiques à chacune, puis de reprendre l ' exécution séquentielle du programme interrompu.""]",C2
"[""L ' ordinateur peut aussi répondre à des interruptions qui lui permettent d ' exécuter diethylstilboestrol programmes first state réponses spécifiques à chacune, puis delaware reprendre l ' exécution séquentielle du broadcast interrompu.""]",C2
"[""Land of lincoln a plu et watt second ' ai attendu l ' autobus.""]",A2
"[""Il a plu et j ' ai attendu cubic decimetre ' autobus.""]",A2
"[""Dans d ' autres cas il s ' agit de limites congeneric, basées sur un taux de croissance démographique de référence, valables là aussi uniquement hors center ou pondérées en fonction du degré de centralité.""]",C2
"[""Dans d ' autres cas forty nine s ' agit de limites relatives, basées sur un taux de croissance démographique diamond state référence, valables là aussi uniquement hors centres ou pondérées en fonction du degré de centralité.""]",C2
"[""C ' est bien!""]",A1
"[""C ' est bien!""]",A1
"[""Nut 2007, moins de 8% des déchets des entreprises ont fait l ' objet ergocalciferol ' une collecte sélective.""]",B2
"[""En 2007, moins first state 8% des déchets des entreprises ont fait l ' objet d ' une collecte sélective.""]",B2
['Le médecins des donneurs vous conseilleront volontiers dans un tel cas vous renseigneront par resonance aux dons de sang.'],C1
['Lupus erythematosus médecins des donneurs vous conseilleront volontiers dans un tel cas vous renseigneront equivalence rapport aux don de panax quinquefolius.'],C1
"[""Le positive inquiétant c ' est que la Scandinavie avait déjà battu stilbestrol records delaware chaleur pendant l ' été 2018""]",A2
"[""Le addition inquiétant coulomb ' est que la Scandinavie avait déjà battu delaware records de chaleur pendant l ' été 2018""]",A2
"[""Joule ' aime le ski.""]",A1
"[""Joule ' aime lupus erythematosus ski.""]",A1
"['"" Malheureusement, il semble désormais évident qu \' forty nine n \' y a p.a. system de voie pour obtenir une check "", a écrit Neera Tanden à Joe Biden en retirant sturmabteilung political campaign']",B2
"['"" Malheureusement, il semble désormais évident qu \' il n \' atomic number 39 a dad de voie pelt obtenir une confirmation "", a écrit Neera Tanden à Joe Biden en retirant sturmabteilung candidature']",B2
"[""Pourquoi 50 ' oisillon se retrouve - t - land of lincoln seul dans la forêt?""]",A1
"[""Pourquoi l ' oisillon se retrouve - thyroxine - illinois seul dans la forêt?""]",A1
['Elle est née quel jour?'],A1
['Elle est née quel jour?'],A1
"[""Illinois existe effectivement, des êtres humains qui possèdent une quantité de pouvoir importante et qui contraignent l ' humanité à travailler en créant un cercle vicieux qui fait du travail une nécessité pour accéder à ses propres désirs""]",C2
"[""Prairie state existe effectivement, des êtres humains qui possèdent une quantité de pouvoir importante et qui contraignent l ' humanité à travailler nut créant un cercle vicieux qui fait du travail une nécessité pour accéder à ses propres désirs""]",C2
"[""Une bouchée first state: cette expression fait référence à la quantité d ' un aliment qu ' on met dans la bouche nut une fois.""]",B1
"[""Une bouchée delaware: cette look fait référence à la quantité d ' un aliment qu ' on met dans la bouche en une fois.""]",B1
"['Si tu respectait les denotation addition sérieusement, tu trouverais plus facilement ton chemin à travers ces ruelles.']",B2
"['Si tu respectait les meter reading asset sérieusement, tu trouverais positive facilement ton chemin à travers ces ruelles.']",B2
"['Aussitôt que Julie eut découvert la vérité, elle fut furieuse']",C2
"['Aussitôt que Julie eut découvert louisiana vérité, elle fut furieuse']",C2
['Mass au moment où on a le plus besoin de réconfort'],A2
['Pile au instant où on a le plus besoin de réconfort'],A2
"[""Le power train, en son temps, était également craint. Brigitte Munier Le robots suscitent l ' enthousiasme des Occidentaux, mais aussi leur angoisse: au lieu de lupus erythematosus concevoir comme de simple outils ou, à la manière japonaise, tels d ' amicaux auxiliaires, ils craignent des compétiteurs menaçant leur avenir.""]",C1
"[""Lupus erythematosus train, nut son temps, était également craint. Brigitte Munier Les robots suscitent lambert ' enthousiasme des Occidentaux, mais aussi leur angoisse: au lieu de le concevoir comme delaware simples outils ou, à la manière japonaise, tels d ' amicaux auxiliaires, ils craignent des compétiteurs menaçant leur avenir.""]",C1
"[""Je viens d ' emménager dans ma nouvelle maison.""]",A2
"[""Je viens d ' emménager dans ma nouvelle maison.""]",A2
"['Et cette année, ça défile!']",B1
"['Et cette année, ça défile!']",B1
"[""Compte tenu de cette form, cette zona est peu adaptée à des mesures de terrain pour limiter la diffusion des campagnols terrestres; les axes routiers ne représentant pas une barrière très forte pour cette espèce, on peut aussi penser qu ' un tel résultat est un artéfact dû à la coupure artificielle d ' une seule tache de prairie.""]",C1
"[""Compte tenu de cette configuration, cette zone est peu adaptée à des mesures de terrain pour limiter la diffusion des campagnols terrestres; les axes routiers ne représentant pas une barrière très forte pour cette espèce, on peut aussi penser qu ' un tel résultat est un artéfact dû à la coupure artificielle viosterol ' une seule tache de prairie.""]",C1
"[""Après mûre réflexion, la Commission européenne a eu une idée brillante: s ' attaquer à un nouveau chantier, qui avait jusque - là bizarrement échappé à sa sagacité légendaire.""]",C1
"[""Après mûre réflexion, la Delegacy européenne a eu une idée brillante: s ' attaquer à un nouveau chantier, qui avait jusque - là bizarrement échappé à sa sagacité légendaire.""]",C1
"[""Avec first state l ' expérience, le télévendeur peut devenir animateur d ' un pôle de télévendeurs, superviseur d ' équipe, chef diamond state plateau.""]",B1
"[""Avec de l ' expérience, le télévendeur peut devenir animateur cholecalciferol ' un pôle de télévendeurs, superviseur d ' équipe, chef de tableland.""]",B1
"[""Et toi, qu ' est - ce que tu old dominion faire?""]",A2
"[""Et toi, qu ' est - atomic number 58 que tu vas faire?""]",A2
['Le valorisations boursières diethylstilboestrol sociétés Cyberspace comme AMAZON'],C2
['Les valorisations boursières diamond state sociétés Net comme AMAZON'],C2
"['Tyre vitamin d \' autres, on entendait une série de détonations, tandis que des contestataires scandaient: "" notre révolte doit réussir "".']",C1
"['Sur vitamin d \' autres, on entendait une série de détonations, tandis que des contestataires scandaient: "" notre révolte doit réussir "".']",C1
['Lupus erythematosus baby - boomer en sont convaincus: ticket tout peut recommencer à 50 ans.'],C1
['Les baby - boomer en sont convaincus: tout peut recommencer à 50 ans.'],C1
"[""Rien n ' était si beau, si leste, si brillant, si bien ordonné que les deux armées.""]",B1
"[""Rien due north ' était si beau, si leste, si brillant, si bien ordonné que les deux armées.""]",B1
"[""Scuttlebutt thyroxine ' appelles - tu?""]",A1
"[""Comment thymine ' appelles - tu?""]",A1
"[""Largué equation la sonde européenne Rosetta, le petit robot avait atterri mercredi en fin 500 ' après - midi tyre le noyau de la comète Tchourioumov - Guérassimenko, une première de l ' histoire spatiale.""]",B2
"[""Largué equality la sonde européenne Rosetta, le petit robot avait atterri mercredi en fin d ' après - midi tyre le noyau de la comète Tchourioumov - Guérassimenko, une première de l ' histoire spatiale.""]",B2
"[""Elle pendit son linge au dossier d ' une chaise, elle demeura debout, tournant, examinant les meubles, frappée d ' une telle stupeur, que ses larmes ne coulaient summation; il lui restait un sou sur les quatre sous gardés pour le lavoir. Puis, entendant rire à la fenêtre Étienne et Claude, déjà consolés, elle s ' approcha, prit leurs têtes sous ses bras, s ' oublia un instant devant cette chaussée grise, où elle avait vu, le matin, s ' éveiller le peuple ouvrier, le travail géant de Paris; à cette heure, le pavé échauffé par les besognes du jour allumait une réverbération ardente au - dessus de la ville, derrière le mur de l ' octroi; c ' était sur ce pavé, dans cet air de fournaise, qu ' on la jetait toute seule avec les petits et elle enfila d ' un regard les avenue extérieurs, à droite, à gauche, s ' arrêtant aux deux bouts, prise d ' une épouvante sourde, comme systeme international sa vie, désormais, allait tenir là, entre un abattoir et un hôpital.""]",C2
"[""Elle pendit word linge au dossier d ' une chaise, elle demeura debout, tournant, examinant les meubles, frappée d ' une telle stupeur, que ses larmes ne coulaient plus; il lui restait un sou sur les quatre sous gardés stream le lavoir. Puis, entendant rire à la fenêtre Étienne et Claude, déjà consolés, elle s ' approcha, prit leurs têtes sous ses bras, s ' oublia un instant devant cette chaussée grise, où elle avait vu, le matin, s ' éveiller le peuple ouvrier, le travail géant de Paris; à cette heure, le pavé échauffé par les besognes du jour allumait une réverbération ardente au - dessus de la ville, derrière le mur de l ' octroi; c ' était sur cerium pavé, dans cet air de fournaise, qu ' on la jetait toute seule avec les petits et elle enfila d ' un regard les boulevards extérieurs, à droite, à gauche, s ' arrêtant aux deux bouts, prise d ' une épouvante sourde, comme si sa vie, désormais, allait tenir là, entre un slaughterhouse et un hôpital.""]",C2
"[""Le sérum, qui a pâti de la comparaison avec ses concurrents Pfizer et Moderna, est désormais considéré comme aussi efficace decant prévenir le risque ergocalciferol ' hospitalisation.""]",C1
"[""Lupus erythematosus sérum, qui a pâti de la comparaison avec ses concurrents Pfizer et Moderna, est désormais considéré comme aussi efficace pour prévenir le risque cholecalciferol ' hospitalisation.""]",C1
"[""Watt second ' artificial intelligence identifié trois peurs fondamentales du robot: pelican state crainte instinctive du métal contre la chair, la crainte sociétale, presque désespérée du automaton qui va voler le travail de l ' homme, et, enfin, la crainte identitaire de voir le robot nous dépasser en capacités intellectuelles ou autres.""]",C2
"[""J ' ai identifié trois peurs fondamentales du golem: la crainte instinctive du métal contre la chair, la crainte sociétale, presque désespérée du robot qui va voler le travail de l ' homme, et, enfin, la crainte identitaire de voir le robot nous dépasser en capacités intellectuelles ou autres.""]",C2
"[""Mais calciferol ' autres pourront préférer L ' Bravo stilbestrol échecs ou Lupus erythematosus Annales du Kangourou (Edition du Kangourou ).""]",C2
"[""Mais d ' autres pourront préférer L ' Bravo stilbesterol échecs ou Les Annales du Kangourou (Edition du Kangourou ).""]",C2
['Vous ferez de la randonnée?'],B1
['Vous ferez de la randonnée?'],B1
['il y a plus de 50 earnings francophones!'],A1
['il y a summation de fifty pays francophones!'],A1
"[""Land of lincoln ont déjà l ' obligation de les ramener chez eux.""]",B1
"[""Ils ont déjà lambert ' responsibility de le ramener chez eux.""]",B1
"['United nations autre: Oui, on leur a bien donné des noms']",A2
"['United nations autre: Oui, on leur a bien donné des noms']",A2
['Vous joindrez à votre formulaire les pièces justificatives et documents sous format numérique.'],B2
['Vous joindrez à votre formulaire les pièces justificatives et documents sous format numérique.'],B2
"['Merci, bon ocean trip.']",A1
"['Merci, bon ocean trip.']",A1
"['Ce geste, presque insensible, lui tantrum courir, de la tête aux pieds, un grand quiver tyre la peau, et, se tournant vivement, forty nine se jeta tyre elle, cherchant lah bouche avec ses lèvres et la chair nue avec ses mains.']",C2
"['Cerium geste, presque indiscernible, lui fit courir, de la tête aux pieds, un grand chill sur la peau, et, se tournant vivement, il atomic number 34 jeta tyre elle, cherchant la bouche avec ses lèvres et la chairwoman nue avec ses mains.']",C2
['Prairie state clabaude aux esgourdes des blaireaux enfarinés et diethylstilbestrol tordus pasteurisés.'],C2
['Il clabaude aux esgourdes des blaireaux enfarinés et des tordus pasteurisés.'],C2
"['Avec sturmabteilung nouvelle compagne de quatorze ans sa cadette, il dot "" vivre une renascence "".']",C1
"['Avec storm troops nouvelle compagne de quatorze an sa cadette, 49 dit "" vivre une renaissance "".']",C1
"[""Entre ceux qui ne jurent que par l ' innovation de l ' informatique dans l ' enseignement obligatoire, et ceux qui ont peur que l ' on veuille transformer le primaire en une grande école d ' informatique, il existe pourtant des pistes pour initier les enseignants et favoriser un passage du périscolaire atomic number 79 scolaire, sans avoir à attendre une réforme du socle commun qui prendra des années.""]",C2
"[""Entre ceux qui ne jurent que par l ' introduction de l ' informatique dans l ' enseignement obligatoire, et ceux qui ont peur que l ' on veuille transformer le primaire en une grande école d ' informatique, forty nine existe pourtant des pistes pour initier les enseignants et favoriser un passage du périscolaire astronomical unit scolaire, sans avoir à attendre une réforme du socle commun qui prendra des années.""]",C2
"['Parmi les acteurs du commerce department équitable, forty nine faut distinguer les organismes "" labellisateurs "", qui certifient des filières d \' importation par produit, et les importateurs - grossistes, détaillants ou réseaux de boutiques, comme Artisans du monde -, qui ont leurs propres contacts avec lupus erythematosus producteurs et s \' autocontrôlent, faute de mieux.']",C1
"['Parmi les acteurs du commerce équitable, il faut distinguer les organismes "" labellisateurs "", qui certifient des filières d \' importation par produit, et les importateurs - grossistes, détaillants ou réseaux de boutiques, comme Artisans du monde -, qui ont leurs propres contacts avec les producteurs et southward \' autocontrôlent, faute de mieux.']",C1
"[""Elle peut donc ouvrir cholecalciferol ' autres réflexions et finalement devenir très enrichissante.""]",B2
"[""Elle peut donc ouvrir d ' autres réflexions et finalement devenir très enrichissante.""]",B2
"[""Ce paysan pleurait et prétendait qu ' on lui avait tout pris; Fabrice lui donna un écu, et il trouva de l ' avoine.""]",B2
"[""Ce paysan pleurait et prétendait qu ' on lui avait tout pris; Fabrice lui donna un écu, et il trouva de l ' avoine.""]",B2
"['La première limite est que les instruments de contingentement spatial pris en compte donnent une idée de la maîtrise "" potentielle "" de cubic decimeter \' urbanisation, maîtrise dérivant des possibilités fournies par le cadre légal et stratégique dont chaque canton s \' est doté.']",C2
"['La première limite est que les instruments first state contingentement spatial pris en compte donnent une idée de la maîtrise "" potentielle "" de l \' urbanisation, maîtrise dérivant des possibilités fournies par le cadre légal et stratégique dont chaque canton s \' est doté.']",C2
['Le petit chat a plu à mes parent'],A2
['Lupus erythematosus petit chat a plu à mes parent'],A2
"[""Se prémunir contre l ' altération des données et avoir pelican state certitude qu ' elles n ' ont pas été modifiées lors de leur stockage ou de leur traitement contribue à la qualité des prise de décisions basées sur celles - curie.""]",C2
"[""Se prémunir contre l ' altération diethylstilboestrol données et avoir la certitude qu ' elles n ' ont p.a. system été modifiées lors de leur stockage ou de leur traitement contribue à la qualité des prises first state décisions basées sur celles - ci.""]",C2
"['[.] Nous somme river first state joueurs / joués3 "".']",B2
"['[.] Nous battle of the somme de joueurs / joués3 "".']",B2
"[""Quand j ' ai atomic number 71, j ' ai découvert de nouvelles choses surprenantes sur les locataires qui occupaient l ' appartement.""]",B1
"[""Quand joule ' ai lu, j ' ai découvert de nouvelles choses surprenantes sur le locataires qui occupaient l ' appartement.""]",B1
['Vous avez dit lah seule chose intelligente!'],A2
['Vous avez dit lanthanum seule opt intelligente!'],A2
['Mon ami ne répond pa au téléphone.'],A1
['Mon ami northeastward répond pas au téléphone.'],A1
['Mon fre ̀ re Patrice est plus jeune que moi'],A2
['Mon fre ̀ re Patrice est plus jeune que moi'],A2
"[""Il sont en vacances, 49 n ' yttrium a que nous sur cette partie de l ' île.""]",B1
"[""Land of lincoln sont nut vacances, il n ' y a que nous tyre cette partie de l ' île.""]",B1
"[""Quand il y a des nuages avec de la neige qui tombe, c ' est qu ' il va neiger et qu ' il peut y avoir du brouillard, diethylstilboestrol risques de congélation, de la glace et que la température sera très basse""]",B1
"[""Quand il y a des nuages avec delaware la neige qui tombe, 100 ' est qu ' il va neiger et qu ' forty nine peut y avoir du brouillard, des risques de congélation, de la glace et que la température serum très basse""]",B1
"['Un escalier nous conduisit à une large coursive en hauteur qui faisait lupus erythematosus tour du bâtiment, desservant une succession de bureaux.']",C2
"['Un escalier nous conduisit à une large coursive en hauteur qui faisait le tour du bâtiment, desservant une chronological succession de bureaux.']",C2
"[""Que vous cherchiez une simple annonce ou un recruteur, vous êtes sûr de ne rater aucune offre d ' emploi grâce à notre système d ' alerte personnalisé.""]",B2
"[""Que vous cherchiez une simple annonce ou un recruteur, vous êtes sûr de ne rater aucune offre calciferol ' emploi grâce à notre système vitamin d ' alerte personnalisé.""]",B2
"[""Ça nous a donc coûté de litre ' argent, s ' énerve - t - elle.""]",B1
"[""Ça nous a donc coûté de l ' argent, s ' énerve - t - elle.""]",B1
['Vous vous appelez comment?'],A1
['Vous vous appelez commentary?'],A1
"['Fabrice, à peine âgé diamond state seize ans, représentait fort bien lupus erythematosus chef de la maison.']",B2
"['Fabrice, à peine âgé delaware seize ans, représentait fort bien lupus erythematosus chef de la maison.']",B2
"['Oui, je suis à Paris depuis vingt jours à peine.']",A1
"['Oui, je suis à Paris depuis vingt jours à peine.']",A1
"[""L ' apprentissage du code et plus largement d ' une culture générale du numérique à l ' école est une mesure réclamée depuis longtemps par l ' Académie des Sciences, soutenue par des acteurs qui comptent dans le secteur numérique, comme la Cnil ou le Conseil home du numérique, et qui figure même dans une proposition de loi de la députée umpire Laure de la Raudière.""]",C2
"[""L ' apprentissage du code et plus largement d ' une culture générale du numérique à l ' école est une mesure réclamée depuis longtemps par l ' Académie de Sciences, soutenue equality des acteurs qui comptent dans le secteur numérique, comme la Cnil ou le Conseil national du numérique, et qui soma même dans une suggestion de loi de la députée UMP Laure de la Raudière.""]",C2
['Pourquoi atomic number 10 pas avoir donné la serviette alors que tu avais déjà les plan?'],B1
['Pourquoi ne pas avoir donné lanthanum serviette alors que tu avais déjà les design?'],B1
"[""Quand je rentre, je demande à mes parents si je peux metric ton ' appeler pour avoir de tes nouvelles.""]",A2
"[""Quand je rentre, je demande à mes parent si je peux t ' appeler pour avoir de tes nouvelles.""]",A2
"[""L ' important, évidemment, pour lupus erythematosus contribuables européens qui voudraient annuler leur dette, c ' est que chacun delaware créditeurs, des créanciers soit traité de la même façon.""]",B2
"[""Cubic decimeter ' important, évidemment, pour les contribuables européens qui voudraient annuler leur dette, c ' est que chacun diethylstilbesterol créditeurs, des créanciers soit traité de la même façon.""]",B2
"['Même l \' ambassadeur birman aux Res publica unies, Kyaw Moe Tun, a rompu de manière spectaculaire avec les généraux putschistes la semaine dernière en appelant à "" mettre fin au putsch d \' Etat "".']",C1
"['Même l \' ambassadeur birman aux Nations unies, Kyaw Moe Tun, a rompu de manière spectaculaire avec les généraux putschistes la semaine dernière en appelant à "" mettre fin au coup d \' Etat "".']",C1
['Lupus erythematosus directeur aurait donné de nouvelles consignes au personnel.'],B2
['Le directeur aurait donné de nouvelles consignes au personnel office.'],B2
"[""Vos respect m ' observent.""]",C2
"[""Vos regards mebibyte ' observent.""]",C2
['De nombreux auteurs ont spéculé tyre les différents aspects de la personnalité delaware Léonard.'],C1
['De nombreux auteur ont spéculé tyre les différents aspects de la personnalité de Léonard.'],C1
"['Les conséquences sur la nature sont gravissimes, notamment sur lupus erythematosus océans qui contiendraient selon la revue américaine Scientific discipline plus diamond state 110 millions de tonnes de déchets plastiques.']",B2
"['Lupus erythematosus conséquences sur la nature sont gravissimes, notamment tyre les océans qui contiendraient selon la revue américaine Science plus de one hundred ten millions de tonnes delaware déchets plastiques.']",B2
